"Pres_abs","bio_1","bio_12"
0,4.22268724441528,403
0,6.00680208206177,738
0,4.07938528060913,786
1,8.41848945617676,453
0,8.57375049591064,553
1,16.9346179962158,319
1,15.1723852157593,422
0,16.7509307861328,325
0,18.1806659698486,319
1,16.10768699646,383
0,17.0054187774658,345
0,6.43913555145264,1049
0,6.97559356689453,423
0,6.97559356689453,423
0,10.1837778091431,2357
0,6.12426042556763,515
0,4.42969799041748,380
0,3.32531261444092,514
0,6.32720851898193,220
0,4.42969799041748,380
0,4.42969799041748,380
0,11.8215942382812,1208
0,11.8215942382812,1208
0,9.31287479400635,857
0,5.65541648864746,415
0,4.42969799041748,380
0,10.245041847229,449
0,6.3417706489563,2173
0,10.370062828064,809
0,8.10121917724609,867
0,9.88868808746338,2227
0,14.3200731277466,1056
0,11.8215942382812,1208
0,10.5137710571289,829
0,10.370062828064,809
0,10.370062828064,809
0,10.370062828064,809
0,10.370062828064,809
0,10.4977912902832,471
0,10.4977912902832,471
0,12.5704164505005,578
1,15.7197599411011,346
0,7.31296873092651,402
0,7.21203136444092,716
0,7.21203136444092,716
0,-1.04029178619385,578
0,11.4927291870117,1354
0,11.2381982803345,1305
0,9.88541698455811,1322
0,9.88541698455811,1322
0,11.4927291870117,1354
0,9.88541698455811,1322
0,10.7112398147583,1878
0,10.7880001068115,1387
0,10.3879690170288,1705
0,10.3379163742065,1740
0,10.3379163742065,1740
0,10.3879690170288,1705
0,3.13115620613098,294
0,4.9643440246582,200
0,3.64664602279663,387
0,0.396854102611542,507
0,4.35033321380615,236
0,5.18845844268799,308
0,3.7926561832428,405
0,2.81366658210754,501
0,10.245041847229,449
0,4.80299997329712,415
0,1.39610409736633,483
0,6.06552076339722,276
0,2.33328127861023,693
0,1.10323965549469,529
0,4.89301061630249,207
0,3.91952085494995,221
0,5.07716655731201,229
0,4.41958332061768,286
0,5.24031257629395,259
0,4.60419797897339,240
0,4.51863527297974,293
0,6.06552076339722,276
0,8.23563575744629,1317
0,9.15541648864746,1568
0,9.15541648864746,1568
0,9.15541648864746,1568
0,9.89038562774658,451
1,14.52956199646,638
0,5.20714569091797,1038
0,5.20714569091797,1038
0,8.1258020401001,382
0,6.24973964691162,1296
0,9.71019744873047,1714
0,9.71019744873047,1714
0,9.71019744873047,1714
0,6.24973964691162,1296
0,9.15541648864746,1568
0,9.15541648864746,1568
0,6.24973964691162,1296
0,6.24973964691162,1296
0,9.15541648864746,1568
